"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","6129002027","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6129008063","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6129021043","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6132003027","Warehousing, Distribution, Storage","1991","1","33000"
"Existing","6132007023","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6132040024","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6132043073","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6302015029","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6303007033","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6304010005","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6310010014","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6314002015","Warehousing, Distribution, Storage","2001","1","33000"
"Existing","6336002014","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6336004018","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6336009025","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","6356016007","Warehousing, Distribution, Storage","1981","1","33000"
"Existing","7001013091","Warehousing, Distribution, Storage","1983","1","33000"
"Existing","7003013010","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7102012016","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7116018024","Warehousing, Distribution, Storage","1984","1","33000"
"Existing","7161006018","Warehousing, Distribution, Storage","1988","1","33000"
"Existing","7212020006","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7212021022","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7271004004","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7306002052","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7306003038","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7306006035","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7306025038","Warehousing, Distribution, Storage","1993","1","33000"
"Existing","7316028007","Warehousing, Distribution, Storage","1982","1","33000"
"Existing","7318005057","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7318021033","Warehousing, Distribution, Storage","1981","1","33000"
"Existing","7319004035","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7339007020","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","7352018044","Warehousing, Distribution, Storage","1986","1","33000"
"Existing","7429034015","Warehousing, Distribution, Storage","2003","1","33000"
"Existing","8009007057","Warehousing, Distribution, Storage","1989","1","33000"
"Existing","8009022063","Warehousing, Distribution, Storage","2001","1","33000"
"Existing","8009025010","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","8167005017","Warehousing, Distribution, Storage","2001","1","33000"
"Existing","8168002403","Warehousing, Distribution, Storage","1998","1","33000"
"Existing","8264006042","Warehousing, Distribution, Storage","2007","1","33000"
"Existing","8264017050","Warehousing, Distribution, Storage","1998","1","33000"
"Existing","8264023020","Warehousing, Distribution, Storage","1997","1","33000"
"Existing","8532018020","Warehousing, Distribution, Storage","1989","1","33000"
"Existing","8532018021","Warehousing, Distribution, Storage","2007","1","33000"
"Existing","8561020002","Warehousing, Distribution, Storage","2006","1","33000"
"Existing","8615002022","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","8707015065","Warehousing, Distribution, Storage","1987","1","33000"
"Existing","8710012018","Warehousing, Distribution, Storage","1989","1","33000"
"Existing","8760013008","Warehousing, Distribution, Storage","1980","1","33000"
"Existing","8760024051","Warehousing, Distribution, Storage","1996","1","33000"
"Existing","8760030008","Warehousing, Distribution, Storage","1991","1","33000"
"Existing","156310020","warehouse/dry storage","1999","1","32000"
"Existing","519350010","warehouse/dry storage","1995","1","32000"
"Existing","680190030","warehouse/dry storage","1983","1","32000"
"Existing","768163013","warehouse/dry storage","1980","1","32000"
"Existing","249140023","warehouse/dry storage","1980","1","32000"
"Existing","250070020","warehouse/dry storage","1986","1","32000"
"Existing","167110032","warehouse/dry storage","1980","1","32000"
"Existing","178340013","warehouse/dry storage","1999","1","32000"
"Existing","011341573","storage warehouse","2019","1","32000"
"Existing","011327128","storage warehouse","1991","1","32000"
"Existing","011341440","storage warehouse","2002","1","32000"
"Existing","016024159","storage warehouse","1980","1","32000"
"Existing","020902220","storage warehouse","2000","1","32000"
"Existing","020947112","storage warehouse","2002","1","32000"
"Existing","022928420","storage warehouse","2004","1","32000"
"Existing","023809177","storage warehouse","1989","1","32000"
"Existing","023208169","storage warehouse","2004","1","32000"
"Existing","025818113","storage warehouse","2008","1","32000"
"Existing","026672103","storage warehouse","1990","1","32000"
"Existing","041011112","storage warehouse","1980","1","32000"
"Existing","041520104","storage warehouse","2006","1","32000"
"Existing","100730114","storage warehouse","2024","1","32000"
"Existing","100731132","storage warehouse","2002","1","32000"
"Existing","100731131","storage warehouse","2001","1","32000"
"Existing","101122116","storage warehouse","2019","1","32000"
"Existing","102154118","storage warehouse","1998","1","32000"
"Existing","104935409","storage warehouse","2005","1","32000"
"Existing","111015138","storage warehouse","2007","1","32000"
"Existing","119210156","storage warehouse","1980","1","32000"
"Existing","308739122","storage warehouse","1987","1","32000"
"Existing","312926177","storage warehouse","2016","1","32000"
"Existing","2048012024","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","2307020031","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","2464015065","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","2506011002","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","2761001054","Warehousing, Distribution, Storage","1981","1","32000"
"Existing","2805018016","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","2811027005","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","2811027007","Warehousing, Distribution, Storage","1989","1","32000"
"Existing","2865008044","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","2866018147","Warehousing, Distribution, Storage","1986","1","32000"
"Existing","3010020018","Warehousing, Distribution, Storage","1991","1","32000"
"Existing","3126032045","Warehousing, Distribution, Storage","1986","1","32000"
"Existing","3126032046","Warehousing, Distribution, Storage","1986","1","32000"
"Existing","3126032049","Warehousing, Distribution, Storage","1985","1","32000"
"Existing","3126032051","Warehousing, Distribution, Storage","1984","1","32000"
"Existing","3126032057","Warehousing, Distribution, Storage","1990","1","32000"
"Existing","3126032084","Warehousing, Distribution, Storage","2005","1","32000"
"Existing","3126032106","Warehousing, Distribution, Storage","2004","1","32000"
"Existing","3126032107","Warehousing, Distribution, Storage","2004","1","32000"
"Existing","4205033001","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","4211005013","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","4211005802","Warehousing, Distribution, Storage","2012","1","32000"
"Existing","5147001007","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","5147032040","Warehousing, Distribution, Storage","2004","1","32000"
"Existing","5167019059","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","5342033027","Warehousing, Distribution, Storage","1988","1","32000"
"Existing","6044012054","Warehousing, Distribution, Storage","1991","1","32000"
"Existing","6106036015","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6236034039","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6240010058","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6240010071","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6303019012","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6304014012","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6304020032","Warehousing, Distribution, Storage","1995","1","32000"
"Existing","6304023026","Warehousing, Distribution, Storage","2004","1","32000"
"Existing","6308002020","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6309026035","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6314001035","Warehousing, Distribution, Storage","2015","1","32000"
"Existing","6330020035","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6332002085","Warehousing, Distribution, Storage","2014","1","32000"
"Existing","6332018017","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6332022001","Warehousing, Distribution, Storage","1985","1","32000"
"Existing","6336003015","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6336003045","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6336007049","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6353019014","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6354021053","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","6356016008","Warehousing, Distribution, Storage","1981","1","32000"
"Existing","6356016019","Warehousing, Distribution, Storage","1987","1","32000"
"Existing","7003003036","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7010016020","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7034016021","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7212021023","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7212021028","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7306011025","Warehousing, Distribution, Storage","1989","1","32000"
"Existing","7316028008","Warehousing, Distribution, Storage","1982","1","32000"
"Existing","7319024040","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7319032031","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7319032041","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7339006003","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7339006007","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7339009003","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7344003009","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7351001021","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7352014044","Warehousing, Distribution, Storage","1983","1","32000"
"Existing","7357028013","Warehousing, Distribution, Storage","1990","1","32000"
"Existing","7377003059","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7377013003","Warehousing, Distribution, Storage","1999","1","32000"
"Existing","7378011053","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","7409019008","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8009007056","Warehousing, Distribution, Storage","1989","1","32000"
"Existing","8009007926","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8011004057","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8011007057","Warehousing, Distribution, Storage","2018","1","32000"
"Existing","8029005031","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8069002079","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8069004072","Warehousing, Distribution, Storage","2003","1","32000"
"Existing","8082033026","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8117014001","Warehousing, Distribution, Storage","2008","1","32000"
"Existing","8125037024","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8242029007","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8242029008","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8264023006","Warehousing, Distribution, Storage","1998","1","32000"
"Existing","8307002037","Warehousing, Distribution, Storage","1991","1","32000"
"Existing","8313007023","Warehousing, Distribution, Storage","1988","1","32000"
"Existing","8348004019","Warehousing, Distribution, Storage","1992","1","32000"
"Existing","8355017028","Warehousing, Distribution, Storage","1990","1","32000"
"Existing","8378013058","Warehousing, Distribution, Storage","1991","1","32000"
"Existing","8382001048","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8513001058","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8532002036","Warehousing, Distribution, Storage","1989","1","32000"
"Existing","8533001065","Warehousing, Distribution, Storage","2005","1","32000"
"Existing","8720034031","Warehousing, Distribution, Storage","1980","1","32000"
"Existing","8722009029","Warehousing, Distribution, Storage","1985","1","32000"
"Existing","8760023012","Warehousing, Distribution, Storage","1989","1","32000"
"Existing","8760024060","Warehousing, Distribution, Storage","1999","1","32000"
"Existing","3126032114","Warehousing, Distribution, Storage","2005","1","32000"
"Existing","7212008089","Warehousing, Distribution, Storage","1983","1","32000"
"Existing","8117016064","Warehousing, Distribution, Storage","2011","1","32000"
"Existing","541271042","warehouse/dry storage","1986","1","31000"
"Existing","666401009","warehouse/dry storage","1996","1","31000"
"Existing","219270006","warehouse/dry storage","2024","1","31000"
"Existing","294070041","warehouse/dry storage","2019","1","31000"
"Existing","909253001","warehouse/dry storage","1984","1","31000"
"Existing","921480045","warehouse/dry storage","2009","1","31000"
"Existing","011335119","storage warehouse","2006","1","31000"
"Existing","011358113","distribution warehouse","1984","1","31000"
"Existing","013613245","storage warehouse","1980","1","31000"
"Existing","013614118","storage warehouse","1980","1","31000"
"Existing","021031103","storage warehouse","2000","1","31000"
"Existing","021031104","storage warehouse","2000","1","31000"
"Existing","020949121","storage warehouse","1989","1","31000"
"Existing","020949120","storage warehouse","1990","1","31000"
"Existing","021127527","storage warehouse","1990","1","31000"
"Existing","021021228","storage warehouse","1987","1","31000"
"Existing","020947106","storage warehouse","1995","1","31000"
"Existing","022901279","storage warehouse","2021","1","31000"
"Existing","022933116","storage warehouse","2003","1","31000"
"Existing","023005121","storage warehouse","1986","1","31000"
"Existing","022928417","storage warehouse","2004","1","31000"
"Existing","023015144","storage warehouse","2014","1","31000"
"Existing","023615163","storage warehouse","1988","1","31000"
"Existing","023607132","transit warehouse (truck terminal)","1980","1","31000"
"Existing","023818533","storage warehouse","1987","1","31000"
"Existing","023818551","storage warehouse","1989","1","31000"
"Existing","029215331","storage warehouse","2001","1","31000"
"Existing","041527125","storage warehouse","1980","1","31000"
"Existing","041525103","storage warehouse","1982","1","31000"
"Existing","041523114","storage warehouse","1995","1","31000"
"Existing","041523110","storage warehouse","1980","1","31000"
"Existing","046708150","storage warehouse","1987","1","31000"
"Existing","064920111","storage warehouse","2001","1","31000"
"Existing","101103109","storage warehouse","1980","1","31000"
"Existing","102850103","storage warehouse","1999","1","31000"
"Existing","111001109","storage warehouse","2017","1","31000"
"Existing","307225108","storage warehouse","1984","1","31000"
"Existing","2205004047","Warehousing, Distribution, Storage","2000","1","31000"
"Existing","2209034032","Warehousing, Distribution, Storage","2006","1","31000"
"Existing","2528010021","Warehousing, Distribution, Storage","1995","1","31000"
"Existing","2528010022","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","2537014035","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","2604002022","Warehousing, Distribution, Storage","1984","1","31000"
"Existing","2604035024","Warehousing, Distribution, Storage","2003","1","31000"
"Existing","2616019058","Warehousing, Distribution, Storage","1985","1","31000"
"Existing","2664014038","Warehousing, Distribution, Storage","1986","1","31000"
"Existing","2746017021","Warehousing, Distribution, Storage","1987","1","31000"
"Existing","2746017034","Warehousing, Distribution, Storage","1987","1","31000"
"Existing","2866018058","Warehousing, Distribution, Storage","1986","1","31000"
"Existing","3126014022","Warehousing, Distribution, Storage","1990","1","31000"
"Existing","3126032054","Warehousing, Distribution, Storage","1989","1","31000"
"Existing","3154010015","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","4061025139","Warehousing, Distribution, Storage","1984","1","31000"
"Existing","4126004019","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","4134005006","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","5118025003","Warehousing, Distribution, Storage","2003","1","31000"
"Existing","5166032039","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","5169019004","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","5243010035","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","5291027028","Warehousing, Distribution, Storage","1982","1","31000"
"Existing","5593020026","Warehousing, Distribution, Storage","2014","1","31000"
"Existing","5711001111","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6007018006","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6075005020","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6125013043","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6126003004","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6129011014","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6132043082","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6134018055","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6150037033","Warehousing, Distribution, Storage","1988","1","31000"
"Existing","6302008009","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6302009018","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6303015004","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6303026012","Warehousing, Distribution, Storage","2003","1","31000"
"Existing","6304019023","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6304022040","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6304026017","Warehousing, Distribution, Storage","1990","1","31000"
"Existing","6308016033","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6310004009","Warehousing, Distribution, Storage","1986","1","31000"
"Existing","6332006022","Warehousing, Distribution, Storage","1996","1","31000"
"Existing","6336006035","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6336009024","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6336020024","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6336021017","Warehousing, Distribution, Storage","1989","1","31000"
"Existing","6354021015","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6358019019","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6368005047","Warehousing, Distribution, Storage","2015","1","31000"
"Existing","6368007020","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6369010012","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","6369010013","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7003004013","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7003006024","Warehousing, Distribution, Storage","1990","1","31000"
"Existing","7022023020","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7119017005","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7149007007","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7212021053","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7271004005","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7318001087","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7319003804","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7319032033","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7339003057","Warehousing, Distribution, Storage","2009","1","31000"
"Existing","7352011008","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7352019006","Warehousing, Distribution, Storage","1989","1","31000"
"Existing","7381025086","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","7429002042","Warehousing, Distribution, Storage","2005","1","31000"
"Existing","7436002013","Warehousing, Distribution, Storage","1988","1","31000"
"Existing","7440005043","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","8005014098","Warehousing, Distribution, Storage","1990","1","31000"
"Existing","8009007028","Warehousing, Distribution, Storage","1987","1","31000"
"Existing","8011016026","Warehousing, Distribution, Storage","2005","1","31000"
"Existing","8069019040","Warehousing, Distribution, Storage","1990","1","31000"
"Existing","8114010023","Warehousing, Distribution, Storage","1993","1","31000"
"Existing","8125037016","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","8168018035","Warehousing, Distribution, Storage","1981","1","31000"
"Existing","8178035010","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","8201028016","Warehousing, Distribution, Storage","1988","1","31000"
"Existing","8206020018","Warehousing, Distribution, Storage","1981","1","31000"
"Existing","8246019022","Warehousing, Distribution, Storage","2016","1","31000"
"Existing","8264015028","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","8264023019","Warehousing, Distribution, Storage","1997","1","31000"
"Existing","8378026009","Warehousing, Distribution, Storage","1991","1","31000"
"Existing","8386022032","Warehousing, Distribution, Storage","1999","1","31000"
"Existing","8513001066","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","8533001056","Warehousing, Distribution, Storage","2002","1","31000"
"Existing","8533001058","Warehousing, Distribution, Storage","2002","1","31000"
"Existing","8564013024","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","8577001042","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","8605016403","Warehousing, Distribution, Storage","1987","1","31000"
"Existing","8727021007","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","8760013005","Warehousing, Distribution, Storage","1980","1","31000"
"Existing","8760023014","Warehousing, Distribution, Storage","2004","1","31000"
"Existing","8109013051","Warehousing, Distribution, Storage","2013","1","31000"
"Existing","8592006028","Warehousing, Distribution, Storage","2016","1","31000"
"Existing","102410011","warehouse/dry storage","1989","1","30000"
"Existing","610070030","warehouse/dry storage","1980","1","30000"
"Existing","665030016","warehouse/dry storage","1989","1","30000"
"Existing","650080020","warehouse/dry storage","1992","1","30000"
"Existing","249070034","warehouse/dry storage","2003","1","30000"
"Existing","187250005","warehouse/dry storage","1980","1","30000"
"Existing","210120036","warehouse/dry storage","1980","1","30000"
"Existing","909290047","warehouse/dry storage","1997","1","30000"
"Existing","127210014","warehouse/dry storage","2004","1","30000"
"Existing","011012111","distribution warehouse","2023","1","30000"
"Existing","011339529","storage warehouse","1988","1","30000"
"Existing","011336156","storage warehouse","2006","1","30000"
"Existing","011327125","storage warehouse","1991","1","30000"
"Existing","011340213","storage warehouse","1999","1","30000"
"Existing","011346224","storage warehouse","2002","1","30000"
"Existing","013612290","distribution warehouse","1980","1","30000"
"Existing","020923410","storage warehouse","2004","1","30000"
"Existing","021127526","storage warehouse","2000","1","30000"
"Existing","021122206","storage warehouse","1990","1","30000"
"Existing","021122242","storage warehouse","1987","1","30000"
"Existing","020949179","storage warehouse","2003","1","30000"
"Existing","022901280","storage warehouse","2021","1","30000"
"Existing","022926234","storage warehouse","1986","1","30000"
"Existing","022928416","storage warehouse","2004","1","30000"
"Existing","023615127","storage warehouse","2008","1","30000"
"Existing","023818534","storage warehouse","1987","1","30000"
"Existing","023808199","distribution warehouse","2005","1","30000"
"Existing","025813134","storage warehouse","1990","1","30000"
"Existing","027601423","storage warehouse","2009","1","30000"
"Existing","041525102","storage warehouse","1987","1","30000"
"Existing","041523103","storage warehouse","1981","1","30000"
"Existing","042410232","storage warehouse","1980","1","30000"
"Existing","045923225","storage warehouse","1990","1","30000"
"Existing","101107116","storage warehouse","2001","1","30000"
"Existing","101208106","storage warehouse","1980","1","30000"
"Existing","102211108","storage warehouse","1997","1","30000"
"Existing","102034105","storage warehouse","1980","1","30000"
"Existing","104902235","storage warehouse","1980","1","30000"
"Existing","104935408","storage warehouse","2005","1","30000"
"Existing","105512123","storage warehouse","2024","1","30000"
"Existing","308735147","storage warehouse","2020","1","30000"
"Existing","2054029045","Warehousing, Distribution, Storage","1985","1","30000"
"Existing","2327015016","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","2537015052","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","2746009032","Warehousing, Distribution, Storage","1985","1","30000"
"Existing","2780001062","Warehousing, Distribution, Storage","2015","1","30000"
"Existing","2827002036","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","3022021019","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","3109023056","Warehousing, Distribution, Storage","1990","1","30000"
"Existing","3111016008","Warehousing, Distribution, Storage","1987","1","30000"
"Existing","3126015044","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","3128010008","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","3211003017","Warehousing, Distribution, Storage","2008","1","30000"
"Existing","3271027001","Warehousing, Distribution, Storage","2000","1","30000"
"Existing","3271027042","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","3271028092","Warehousing, Distribution, Storage","2005","1","30000"
"Existing","4053003016","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","4080025048","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","4138003021","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","4203027162","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","4204002028","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","5121001008","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","5130001041","Warehousing, Distribution, Storage","1984","1","30000"
"Existing","5167019050","Warehousing, Distribution, Storage","1989","1","30000"
"Existing","5168025036","Warehousing, Distribution, Storage","2003","1","30000"
"Existing","5172018015","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","5224026030","Warehousing, Distribution, Storage","1999","1","30000"
"Existing","5243026806","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","5282009018","Warehousing, Distribution, Storage","1997","1","30000"
"Existing","5638020047","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6007004004","Warehousing, Distribution, Storage","2015","1","30000"
"Existing","6007005018","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6007005025","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6009030021","Warehousing, Distribution, Storage","1991","1","30000"
"Existing","6126007022","Warehousing, Distribution, Storage","1986","1","30000"
"Existing","6129005045","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6129011022","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6132007029","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6132039021","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6234008048","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6240010066","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6304026029","Warehousing, Distribution, Storage","1998","1","30000"
"Existing","6308003010","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6308009030","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6308016056","Warehousing, Distribution, Storage","2003","1","30000"
"Existing","6310004010","Warehousing, Distribution, Storage","1987","1","30000"
"Existing","6310006016","Warehousing, Distribution, Storage","2003","1","30000"
"Existing","6353013015","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6353016028","Warehousing, Distribution, Storage","1986","1","30000"
"Existing","6354037001","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6356014031","Warehousing, Distribution, Storage","1981","1","30000"
"Existing","6357007027","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6369004002","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","6369004013","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7005002057","Warehousing, Distribution, Storage","2004","1","30000"
"Existing","7034016023","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7148020019","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7149004048","Warehousing, Distribution, Storage","1987","1","30000"
"Existing","7162016044","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7307008043","Warehousing, Distribution, Storage","1985","1","30000"
"Existing","7318002076","Warehousing, Distribution, Storage","1984","1","30000"
"Existing","7318002077","Warehousing, Distribution, Storage","1984","1","30000"
"Existing","7318007061","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7319004036","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7319028035","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7319032044","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7352014014","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7352014043","Warehousing, Distribution, Storage","1983","1","30000"
"Existing","7381025009","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7381026002","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7381026004","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7439011032","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","7440005036","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","8002017033","Warehousing, Distribution, Storage","1986","1","30000"
"Existing","8005014023","Warehousing, Distribution, Storage","1985","1","30000"
"Existing","8005015022","Warehousing, Distribution, Storage","1988","1","30000"
"Existing","8005019035","Warehousing, Distribution, Storage","2003","1","30000"
"Existing","8009007032","Warehousing, Distribution, Storage","1987","1","30000"
"Existing","8011016035","Warehousing, Distribution, Storage","2005","1","30000"
"Existing","8114019024","Warehousing, Distribution, Storage","2008","1","30000"
"Existing","8168003020","Warehousing, Distribution, Storage","1980","1","30000"
"Existing","8208004018","Warehousing, Distribution, Storage","1980","1","30000"
